,Unnamed: 0,Age,Month,Site,Departamento,Municipio,Empresa,Estrato 1_Suscriptores,Estrato 2_Suscriptores,Estrato 3_Suscriptores,Estrato 4_Suscriptores,Estrato 5_Suscriptores,Estrato 6_Suscriptores,Industrial_Suscriptores,Comercial_Suscriptores,Oficial_Suscriptores,Otros_Suscriptores,Estrato 1_Consumo,Estrato 2_Consumo,Estrato 3_Consumo,Estrato 4_Consumo,Estrato 5_Consumo,Estrato 6_Consumo,Industrial_Consumo,Comercial_Consumo,Oficial_Consumo,Otros_Consumo,Estrato 1_Valor Consumo,Estrato 2_Valor Consumo,Estrato 3_Valor Consumo,Estrato 4_Valor Consumo,Estrato 5_Valor Consumo,Estrato 6_Valor Consumo,Industrial_Valor Consumo,Comercial_Valor Consumo,Oficial_Valor Consumo,Otros_Valor Consumo,Estrato 1_Consumo Por Suscritor,Estrato 2_Consumo Por Suscritor,Estrato 3_Consumo Por Suscritor,Estrato 4_Consumo Por Suscritor,Estrato 5_Consumo Por Suscritor,Estrato 6_Consumo Por Suscritor,Industrial_Consumo Por Suscritor,Comercial_Consumo Por Suscritor,Oficial_Consumo Por Suscritor,Otros_Consumo Por Suscritor,Estrato 1_Valor Por Suscritor,Estrato 2_Valor Por Suscritor,Estrato 3_Valor Por Suscritor,Estrato 4_Valor Por Suscritor,Estrato 5_Valor Por Suscritor,Estrato 6_Valor Por Suscritor,Industrial_Valor Por Suscritor,Comercial_Valor Por Suscritor,Oficial_Valor Por Suscritor,Otros_Valor Por Suscritor,Estrato 1_Precio por Vatio,Estrato 2_Precio por Vatio,Estrato 3_Precio por Vatio,Estrato 4_Precio por Vatio,Estrato 5_Precio por Vatio,Estrato 6_Precio por Vatio,Industrial_Precio por Vatio,Comercial_Precio por Vatio,Oficial_Precio por Vatio,Otros_Precio por Vatio
8767,427,2008,Marzo,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,15003.0,,,,,,,,,,3514398.0,,,,,,,,,,15003.0,,,,,,,,,,3514398.0,,,,,,,,,,234.24635072985402,,,
9516,1176,2008,Marzo,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,181.0,3648.0,206.0,,,,16.0,216.0,12.0,1.0,24904.0,467517.0,30884.0,,,,163135.0,83025.0,20524.0,93799.0,8080433.42,151427319.82,10017616.61,,,,38235453.04,26424527.29,6053854.46,23755239.37,137.59116022099448,128.15707236842104,149.92233009708738,,,,10195.9375,384.375,1710.3333333333333,93799.0,44643.27856353591,41509.68196820175,48629.20684466019,,,,2389715.815,122335.77449074073,504487.87166666664,23755239.37,324.4632757789913,323.8969274272379,324.3626670768035,,,,234.37921377999817,318.2719336344474,294.9646491911908,253.256851032527
10795,441,2005,Octubre,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,23113.0,,,,,,,,,,4900561.0,,,,,,,,,,23113.0,,,,,,,,,,4900561.0,,,,,,,,,,212.02617574525158,,,
11577,1223,2005,Octubre,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,162.0,3226.0,232.0,,,,11.0,211.0,22.0,1.0,21479.0,408144.0,33178.0,,,,32727.0,73012.0,23820.0,84737.0,6319980.96,119479939.72,9762294.72,,,,318439.58,21225092.46,6906879.24,19919974.0,132.58641975308643,126.51704897706138,143.00862068965517,,,,2975.181818181818,346.02843601895734,1082.7272727272727,84737.0,39012.22814814815,37036.55911965282,42078.856551724144,,,,28949.05272727273,100592.8552606635,313949.0563636364,19919974.0,294.23999999999995,292.73966962640634,294.24000000000007,,,,9.730179362605801,290.7069037966362,289.96134508816124,235.08000047204882
12240,334,2013,Marzo,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,549.0,,,,,,,,,,156096.0,,,,,,,,,,549.0,,,,,,,,,,156096.0,,,,,,,,,,284.327868852459,,,
12972,1066,2013,Marzo,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,251.0,4326.0,172.0,,,,15.0,245.0,10.0,7.0,30245.0,517167.0,29220.0,,,,240609.0,92242.0,16109.0,135980.0,10340999.86,176852404.18,10009876.31,,,,62728529.39,30724745.68,5267827.87,40310174.96,120.4980079681275,119.54854368932038,169.88372093023256,,,,16040.6,376.49795918367346,1610.9,19425.714285714286,41199.20262948207,40881.27697179843,58196.955290697675,,,,4181901.959333333,125407.12522448979,526782.787,5758596.422857143,341.9077487187964,341.96382247900584,342.5693466803559,,,,260.7073276145115,333.08845948700156,327.01147619343226,296.4419396970143
13799,1893,2013,Marzo,Urbano,VALLE DEL CAUCA,GUACARI,VATIA S.A. E.S.P.,,,,,,,,1.0,,,,,,,,,,12171.0,,,,,,,,,,4395565.0,,,,,,,,,,12171.0,,,,,,,,,,4395565.0,,,,,,,,,,361.1506860570208,,
14503,441,2006,Julio,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,11909.0,,,,,,,,,,2514071.0,,,,,,,,,,11909.0,,,,,,,,,,2514071.0,,,,,,,,,,211.10680997564867,,,
17832,803,2007,Enero,Rural,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,365.0,2379.0,36.0,9.0,7.0,13.0,53.0,50.0,11.0,,75038.0,620932.0,22423.0,6164.0,6821.0,12067.0,1333419.92,58762.0,5125.0,,22657749.98,186755435.79,6242084.77,1670864.33,2040187.85,3462019.99,209263805.05,17069726.5,1572606.25,,205.58356164383562,261.0054644808743,622.8611111111111,684.8888888888889,974.4285714285714,928.2307692307693,25158.866415094337,1175.24,465.90909090909093,,62076.02734246576,78501.65438839849,173391.2436111111,185651.59222222224,291455.40714285715,266309.23000000004,3948373.6801886796,341394.53,142964.20454545456,,301.9503448919214,300.7663251209472,278.37866342594657,271.06819110966904,299.1039217123589,286.8998085688241,156.93766225571315,290.48920220550696,306.85,
18077,1048,2007,Enero,Rural,VALLE DEL CAUCA,GUACARI,ENERTOTAL S.A. E.S.P.,,,,,,,5.0,,,1.0,,,,,,,69259.0,,,13111.0,,,,,,,13944056.0,,,3047355.0,,,,,,,13851.8,,,13111.0,,,,,,,2788811.2,,,3047355.0,,,,,,,201.33204348893287,,,232.42735107924642
