,Unnamed: 0,Age,Month,Site,Departamento,Municipio,Empresa,Estrato 1_Suscriptores,Estrato 2_Suscriptores,Estrato 3_Suscriptores,Estrato 4_Suscriptores,Estrato 5_Suscriptores,Estrato 6_Suscriptores,Industrial_Suscriptores,Comercial_Suscriptores,Oficial_Suscriptores,Otros_Suscriptores,Estrato 1_Consumo,Estrato 2_Consumo,Estrato 3_Consumo,Estrato 4_Consumo,Estrato 5_Consumo,Estrato 6_Consumo,Industrial_Consumo,Comercial_Consumo,Oficial_Consumo,Otros_Consumo,Estrato 1_Valor Consumo,Estrato 2_Valor Consumo,Estrato 3_Valor Consumo,Estrato 4_Valor Consumo,Estrato 5_Valor Consumo,Estrato 6_Valor Consumo,Industrial_Valor Consumo,Comercial_Valor Consumo,Oficial_Valor Consumo,Otros_Valor Consumo,Estrato 1_Consumo Por Suscritor,Estrato 2_Consumo Por Suscritor,Estrato 3_Consumo Por Suscritor,Estrato 4_Consumo Por Suscritor,Estrato 5_Consumo Por Suscritor,Estrato 6_Consumo Por Suscritor,Industrial_Consumo Por Suscritor,Comercial_Consumo Por Suscritor,Oficial_Consumo Por Suscritor,Otros_Consumo Por Suscritor,Estrato 1_Valor Por Suscritor,Estrato 2_Valor Por Suscritor,Estrato 3_Valor Por Suscritor,Estrato 4_Valor Por Suscritor,Estrato 5_Valor Por Suscritor,Estrato 6_Valor Por Suscritor,Industrial_Valor Por Suscritor,Comercial_Valor Por Suscritor,Oficial_Valor Por Suscritor,Otros_Valor Por Suscritor,Estrato 1_Precio por Vatio,Estrato 2_Precio por Vatio,Estrato 3_Precio por Vatio,Estrato 4_Precio por Vatio,Estrato 5_Precio por Vatio,Estrato 6_Precio por Vatio,Industrial_Precio por Vatio,Comercial_Precio por Vatio,Oficial_Precio por Vatio,Otros_Precio por Vatio
167792,2041,2018,Diciembre,Urbano,VALLE DEL CAUCA,GUACARI,VATIA S.A. E.S.P.,,,,,,,3.0,3.0,,,,,,,,,3195.0,58376.0,,,,,,,,,1228811.0,23691307.0,,,,,,,,,1065.0,19458.666666666668,,,,,,,,,409603.6666666667,7897102.333333333,,,,,,,,,384.60438184663536,405.8398485679046,,
168360,269,2003,Junio,Rural,VALLE DEL CAUCA,GUACARI,COMERCIALIZAR S.A. E.S.P. EN LIQUIDACION,,,,,,,1.0,,,,,,,,,,6563.0,,,,,,,,,,1168690.0,,,,,,,,,,6563.0,,,,,,,,,,1168690.0,,,,,,,,,,178.07252780740515,,,
169091,1000,2003,Junio,Rural,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,4.0,91.0,1.0,,,,60.0,6.0,1.0,2.0,550.0,38930.0,920.0,,,,356384.0,2633.0,920.0,208.0,129568.0,9176348.0,218482.0,,,,57025395.0,623360.0,270728.0,49491.0,137.5,427.8021978021978,920.0,,,,5939.733333333334,438.8333333333333,920.0,104.0,32392.0,100838.98901098901,218482.0,,,,950423.25,103893.33333333333,270728.0,24745.5,235.57818181818183,235.71405086051888,237.48043478260868,,,,160.01109758013828,236.74895556399545,294.2695652173913,237.9375
169610,403,2008,Diciembre,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,438.0,,,,,,,,,,217470.0,,,,,,,,,,438.0,,,,,,,,,,217470.0,,,,,,,,,,496.5068493150685,,,
170333,1126,2008,Diciembre,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,183.0,3701.0,197.0,,,,19.0,227.0,16.0,1.0,25666.0,481541.0,29843.0,,,,166292.0,99463.0,24844.0,99816.0,9175274.24,172093594.1,10665344.26,,,,46295861.31,35115035.08,8216509.24,30426566.62,140.2513661202186,130.1110510672791,151.48730964467006,,,,8752.21052631579,438.16299559471366,1552.75,99816.0,50138.1106010929,46499.21483382869,54138.80335025381,,,,2436624.2794736843,154691.78449339207,513531.8275,30426566.62,357.4875025325333,357.3809791897263,357.3817732801662,,,,278.4010133379838,353.0462089420186,330.72408790854934,304.8265470465657
171341,443,2006,Enero,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,18802.0,,,,,,,,,,4011499.0,,,,,,,,,,18802.0,,,,,,,,,,4011499.0,,,,,,,,,,213.3549090522285,,,
172111,1213,2006,Enero,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,174.0,3300.0,229.0,,,,68.0,258.0,37.0,1.0,24415.0,462265.0,36154.0,,,,246976.0,121053.0,46114.0,87696.0,7183340.75,135234785.34,10637591.42,,,,42144501.03,34231703.11,6033607.76,20714672.0,140.316091954023,140.08030303030304,157.87772925764193,,,,3632.0,469.19767441860466,1246.3243243243244,87696.0,41283.567528735635,40980.23798181818,46452.36427947598,,,,619772.0739705883,132681.01980620154,163070.47999999998,20714672.0,294.21833913577717,292.54818197354325,294.22999999999996,,,,170.6420908509329,282.78277374373204,130.84112764019602,236.2099981755154
173332,843,2009,Noviembre,Rural,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,541.0,2365.0,28.0,8.0,7.0,12.0,43.0,56.0,12.0,,109584.0,609568.0,16423.0,9317.0,3091.0,8474.0,271608.0,89583.0,5179.0,,38505063.64,212082643.2,5588802.59,3004815.73,1042562.75,2851458.82,59280722.44,30413877.68,1823059.79,,202.55822550831792,257.74545454545455,586.5357142857143,1164.625,441.57142857142856,706.1666666666666,6316.46511627907,1599.6964285714287,431.5833333333333,,71173.86994454714,89675.53623678646,199600.0925,375601.96625,148937.5357142857,237621.56833333333,1378621.452093023,543104.9585714285,151921.64916666667,,351.3748689589722,347.92286209249824,340.3033909760701,322.5089331329827,337.2897929472663,336.49502242152465,218.2583813437012,339.50501412098276,352.01000000000005,
173572,1083,2009,Noviembre,Rural,VALLE DEL CAUCA,GUACARI,ENERTOTAL S.A. E.S.P.,,,,,,,5.0,1.0,,,,,,,,,65814.0,18701.0,,,,,,,,,17582536.0,5716985.0,,,,,,,,,13162.8,18701.0,,,,,,,,,3516507.2,5716985.0,,,,,,,,,267.1549518339563,305.7047751457141,,
173610,1121,2009,Noviembre,Rural,VALLE DEL CAUCA,GUACARI,VATIA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,6151.0,,,,,,,,,,1611896.0,,,,,,,,,,6151.0,,,,,,,,,,1611896.0,,,,,,,,,,262.05430011380264,,,
174651,1037,2013,Noviembre,Rural,VALLE DEL CAUCA,GUACARI,ENERTOTAL S.A. E.S.P.,,,,,,,5.0,1.0,,,,,,,,,54527.0,19653.0,,,,,,,,,21026982.0,8405157.0,,,,,,,,,10905.4,19653.0,,,,,,,,,4205396.4,8405157.0,,,,,,,,,385.6251398389789,427.67806441764617,,
175210,352,2010,Abril,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,8522.0,,,,,,,,,,2995899.0,,,,,,,,,,8522.0,,,,,,,,,,2995899.0,,,,,,,,,,351.548814832199,,,
175994,1136,2010,Abril,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,199.0,3836.0,185.0,,,,19.0,232.0,16.0,1.0,26223.0,477961.0,27745.0,,,,277149.0,94456.0,23259.0,101158.0,10074876.6,183546087.39,10658007.24,,,,70173982.35,35831438.56,8399566.2,28505763.47,131.77386934673368,124.5988008342023,149.97297297297297,,,,14586.78947368421,407.13793103448273,1453.6875,101158.0,50627.52060301507,47848.30223931178,57610.84994594595,,,,3693367.492105263,154445.85586206897,524972.8875,28505763.47,384.19999999999993,384.01896261410445,384.1415476662462,,,,253.19947880021215,379.3452883882443,361.13187153359985,281.79445491211766
176969,326,2012,Mayo,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,561.0,,,,,,,,,,156155.0,,,,,,,,,,561.0,,,,,,,,,,156155.0,,,,,,,,,,278.3511586452763,,,
177692,1049,2012,Mayo,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,214.0,4219.0,177.0,,,,10.0,235.0,18.0,7.0,25989.0,503773.0,25842.0,,,,158147.0,91875.0,28495.0,107911.0,10610269.34,205476997.11,10947138.75,,,,41685794.5,37191378.32,10651848.57,33461375.07,121.44392523364486,119.40578336098602,146.0,,,,15814.7,390.9574468085106,1583.0555555555557,15415.857142857143,49580.69785046729,48702.772484000954,61848.24152542373,,,,4168579.45,158261.18434042553,591769.365,4780196.438571429,408.2600076955635,407.87616071127275,423.6180926398886,,,,263.5889046267081,404.8041177687075,373.8146541498508,310.08307837013837
178305,1662,2012,Mayo,Urbano,VALLE DEL CAUCA,GUACARI,VATIA S.A. E.S.P.,,,,,,,,1.0,,,,,,,,,,10381.0,,,,,,,,,,3814783.0,,,,,,,,,,10381.0,,,,,,,,,,3814783.0,,,,,,,,,,367.47741065407956,,
178733,369,2016,Diciembre,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,,,1.0,,,,,,,,,,259.0,,,,,,,,,,116773.0,,,,,,,,,,259.0,,,,,,,,,,116773.0,,,,,,,,,,450.86100386100384,
180220,1856,2016,Diciembre,Urbano,VALLE DEL CAUCA,GUACARI,VATIA S.A. E.S.P.,,,,,,,3.0,2.0,,,,,,,,,18527.0,41858.0,,,,,,,,,6272593.0,16395435.0,,,,,,,,,6175.666666666667,20929.0,,,,,,,,,2090864.3333333333,8197717.5,,,,,,,,,338.5649592486641,391.69179129437623,,
181334,1006,2007,Octubre,Rural,VALLE DEL CAUCA,GUACARI,ENERTOTAL S.A. E.S.P.,,,,,,,5.0,1.0,,,,,,,,,23680.0,14623.0,,,,,,,,,4888253.0,2473881.0,,,,,,,,,4736.0,14623.0,,,,,,,,,977650.6,2473881.0,,,,,,,,,206.42960304054054,169.1773917800725,,
181617,253,2004,Julio,Rural,VALLE DEL CAUCA,GUACARI,COMERCIALIZAR S.A. E.S.P. EN LIQUIDACION,,,,,,,1.0,,,,,,,,,,2825.0,,,,,,,,,,696348.0,,,,,,,,,,2825.0,,,,,,,,,,696348.0,,,,,,,,,,246.49486725663718,,,
182231,867,2004,Julio,Rural,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,250.0,2384.0,1.0,,,,60.0,37.0,18.0,5.0,53186.0,610887.0,920.0,,,,506316.28,30981.67,7268.0,398.16,14955947.0,170510532.0,233404.0,,,,107255912.89,8332618.0,2065962.0,114657.0,212.744,256.2445469798658,920.0,,,,8438.604666666668,837.3424324324324,403.77777777777777,79.632,59823.788,71522.87416107382,233404.0,,,,1787598.5481666666,225205.8918918919,114775.66666666667,22931.4,281.20082352498775,279.1195949496388,253.7,,,,211.83579735970565,268.95315843206646,284.25454045129334,287.9671488848704
182836,252,2004,Diciembre,Rural,VALLE DEL CAUCA,GUACARI,COMERCIALIZAR S.A. E.S.P. EN LIQUIDACION,,,,,,,1.0,,,,,,,,,,840.0,,,,,,,,,,223652.0,,,,,,,,,,840.0,,,,,,,,,,223652.0,,,,,,,,,,266.252380952381,,,
183597,1013,2004,Diciembre,Rural,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,7.0,101.0,1.0,,,,60.0,6.0,1.0,,1174.96,37285.0,640.0,,,,514132.71,3388.0,560.0,,350109.0,11102589.0,175584.0,,,,92704109.41,1012283.0,166119.0,,167.85142857142858,369.15841584158414,640.0,,,,8568.8785,564.6666666666666,560.0,,50015.57142857143,109926.62376237624,175584.0,,,,1545068.4901666667,168713.83333333334,166119.0,,297.9752502212841,297.776290733539,274.35,,,,180.31163473337458,298.7848288075561,296.6410714285714,
184909,1158,2019,Diciembre,Rural,VALLE DEL CAUCA,GUACARI,CELSIA COLOMBIA S.A. E.S.P.,7.0,20.0,7.0,,,,32.0,9.0,1.0,41.0,2145.0,7609.0,4391.0,,,,158432.0,26026.0,1080.0,152520.0,1180391.25,3608429.8,2296757.43,,,,72877147.72,13958903.05,537148.8,73915890.19,306.42857142857144,380.45,627.2857142857143,,,,4951.0,2891.777777777778,1080.0,3720.0,168627.32142857142,180421.49,328108.2042857143,,,,2277410.86625,1550989.227777778,537148.8,1802826.5899999999,550.298951048951,474.231804442108,523.0602209063994,,,,459.9900759947485,536.3445419964651,497.36000000000007,484.63080376344084
184910,1159,2019,Diciembre,Rural,VALLE DEL CAUCA,GUACARI,ENERTOTAL S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,321.0,,,,,,,,,,193625.0,,,,,,,,,,321.0,,,,,,,,,,193625.0,,,,,,,,,,603.1931464174455,,,
185386,441,2006,Agosto,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,13828.0,,,,,,,,,,3175717.0,,,,,,,,,,13828.0,,,,,,,,,,3175717.0,,,,,,,,,,229.65844663002602,,,
187519,1148,2003,Septiembre,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,147.0,3097.0,313.0,,,,14.0,198.0,24.0,5.0,19348.0,413860.0,48702.0,,,,88771.0,71360.0,20466.0,108602.0,4644989.0,99305688.0,11692320.0,,,,17244287.0,16943326.0,5210626.0,21410877.0,131.61904761904762,133.63254762673554,155.59744408945687,,,,6340.785714285715,360.4040404040404,852.75,21720.4,31598.56462585034,32065.12366806587,37355.65495207668,,,,1231734.7857142857,85572.35353535354,217109.41666666666,4282175.4,240.07592516022328,239.94995409075534,240.07884686460514,,,,194.25586058510098,237.43450112107624,254.59914003713476,197.14993278208505
188133,467,2019,Abril,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,,,1.0,,,,,,,,,,280.0,,,,,,,,,,139111.0,,,,,,,,,,280.0,,,,,,,,,,139111.0,,,,,,,,,,496.825,
189466,1800,2019,Abril,Urbano,VALLE DEL CAUCA,GUACARI,PROFESIONALES EN ENERGÍA S.A E.S.P,,,,,,,,1.0,,,,,,,,,,32812.0,,,,,,,,,,12303552.0,,,,,,,,,,32812.0,,,,,,,,,,12303552.0,,,,,,,,,,374.97110813117155,,
189763,2097,2019,Abril,Urbano,VALLE DEL CAUCA,GUACARI,VATIA S.A. E.S.P.,,,,,,,3.0,2.0,,,,,,,,,29407.0,37602.0,,,,,,,,,11330167.0,15247320.0,,,,,,,,,9802.333333333334,18801.0,,,,,,,,,3776722.3333333335,7623660.0,,,,,,,,,385.28809467133675,405.49226104994415,,
190197,319,2011,Junio,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,573.0,,,,,,,,,,162243.0,,,,,,,,,,573.0,,,,,,,,,,162243.0,,,,,,,,,,283.14659685863876,,,
190902,1024,2011,Junio,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,222.0,3975.0,182.0,,,1.0,13.0,241.0,16.0,5.0,31038.0,498060.0,27187.0,,,638.0,162981.0,110117.0,23641.0,122444.0,12069506.5,195147944.83,10643257.26,,,240628.08,44733459.26,41790521.68,8489981.08,36675572.32,139.8108108108108,125.29811320754717,149.37912087912088,,,638.0,12537.0,456.91701244813277,1477.5625,24488.8,54367.1463963964,49093.82259874214,58479.435494505495,,,240628.08,3441035.3276923075,173404.65427385893,530623.8175,7335114.464,388.86224950061217,391.81613626872263,391.4833287968514,,,377.15999999999997,274.4703938495898,379.51017263456146,359.1210642527812,299.5293548070955
191855,370,2005,Febrero,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,12009.0,,,,,,,,,,2539597.0,,,,,,,,,,12009.0,,,,,,,,,,2539597.0,,,,,,,,,,211.4744774752269,,,
192602,1117,2005,Febrero,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,164.0,3273.0,247.0,,,,19.0,206.0,23.0,6.0,20695.03,397984.38,33504.0,,,,409122.7,68313.01,23109.33,112829.0,6333079.0,121775131.0,10252885.0,,,,79116839.0,20634566.0,6926965.0,27912076.0,126.18920731707317,121.59620531622365,135.6437246963563,,,,21532.773684210526,331.6165533980582,1004.7534782608697,18804.833333333332,38616.33536585366,37205.96730827987,41509.65587044534,,,,4164044.1578947366,100167.79611650485,301172.39130434784,4652012.666666667,306.0193196144195,305.9796743781754,306.0197289875835,,,,193.38168964958433,302.0590953319141,299.7475478518849,247.3838818034371
193226,374,2004,Diciembre,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,652.0,,,,,,,,,,147693.0,,,,,,,,,,652.0,,,,,,,,,,147693.0,,,,,,,,,,226.52300613496934,,,
193977,1125,2004,Diciembre,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,162.0,3247.0,250.0,,,,17.0,204.0,23.0,9.0,23374.0,452428.44,41820.52,,,,24349.0,79771.32,26668.0,113830.2,7263689.0,140579171.0,12996156.0,,,,6683408.0,24538545.0,8093221.0,28367996.0,144.28395061728395,139.33736987988914,167.28207999999998,,,,1432.2941176470588,391.0358823529412,1159.4782608695652,12647.8,44837.58641975309,43295.094240837694,51984.624,,,,393141.64705882355,120286.98529411765,351879.17391304346,3151999.5555555555,310.7593479934971,310.7213397106512,310.7602679258891,,,,274.4838802414884,307.611118883328,303.4806134693265,249.21326677806067
194622,392,2009,Diciembre,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,16507.0,,,,,,,,,,4483729.0,,,,,,,,,,16507.0,,,,,,,,,,4483729.0,,,,,,,,,,271.6259162779427,,,
195415,1185,2009,Diciembre,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,195.0,3805.0,186.0,,,,16.0,232.0,16.0,1.0,27102.0,523255.0,29787.0,,,,205195.0,89820.0,26873.0,101098.0,9614006.51,185513685.8,10561278.72,,,,51804587.39,31697543.37,8923318.12,29424140.1,138.98461538461538,137.51773981603154,160.1451612903226,,,,12824.6875,387.1551724137931,1679.5625,101098.0,49302.59748717948,48755.23936925099,56781.06838709678,,,,3237786.711875,136627.34211206896,557707.3825,29424140.1,354.73420817651834,354.53781769882755,354.56,,,,252.4651545602963,352.9007277889112,332.0551527555539,291.0457190053216
196372,337,2013,Agosto,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,6395.0,,,,,,,,,,1895643.0,,,,,,,,,,6395.0,,,,,,,,,,1895643.0,,,,,,,,,,296.42580140734947,,,
197113,1078,2013,Agosto,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,261.0,4534.0,167.0,,1.0,,14.0,247.0,15.0,5.0,31795.0,496715.0,30892.0,,4852.0,,298116.0,100397.0,25856.0,106596.0,11973143.89,188160112.5,11731237.0,,1436434.6,,77321879.61,36765855.35,8775145.76,33398968.94,121.8199233716475,109.55337450374945,184.98203592814372,,4852.0,,21294.0,406.4655870445344,1723.7333333333333,21319.2,45874.1145210728,41499.80425672695,70246.92814371258,,1436434.6,,5522991.400714286,148849.61680161944,585009.7173333333,6679793.788000001,376.573168422708,378.8090001308597,379.75,,296.05,,259.3684324558226,366.20472075858845,339.3852784653465,313.3229102405344
198008,1973,2013,Agosto,Urbano,VALLE DEL CAUCA,GUACARI,VATIA S.A. E.S.P.,,,,,,,,1.0,,,,,,,,,,12109.0,,,,,,,,,,5369372.0,,,,,,,,,,12109.0,,,,,,,,,,5369372.0,,,,,,,,,,443.419935585102,,
199194,1089,2011,Marzo,Rural,VALLE DEL CAUCA,GUACARI,ENERTOTAL S.A. E.S.P.,,,,,,,5.0,1.0,,,,,,,,,41885.0,10312.0,,,,,,,,,11338923.0,3006545.0,,,,,,,,,8377.0,10312.0,,,,,,,,,2267784.6,3006545.0,,,,,,,,,270.7156022442402,291.55789371605897,,
199227,1122,2011,Marzo,Rural,VALLE DEL CAUCA,GUACARI,VATIA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,23126.0,,,,,,,,,,6574566.0,,,,,,,,,,23126.0,,,,,,,,,,6574566.0,,,,,,,,,,284.2932629940327,,,
201554,2323,2020,Enero,Urbano,VALLE DEL CAUCA,GUACARI,CELSIA COLOMBIA S.A. E.S.P.,518.0,5511.0,123.0,,,,20.0,276.0,19.0,5.0,57663.0,644968.0,19255.0,,,,517571.0,153428.0,19652.0,68582.0,32678603.86,365873179.35,10760712.75,,,,205580321.11,82125833.27,9692664.68,33640829.66,111.31853281853282,117.03284340410089,156.54471544715446,,,,25878.55,555.8985507246376,1034.3157894736842,13716.4,63086.10783783784,66389.61701143169,87485.46951219512,,,,10279016.0555,297557.3669202898,510140.24631578947,6728165.931999999,566.7170258224511,567.2733830980762,558.8529083354973,,,,397.20216378042824,535.2727876919467,493.2151780989212,490.51981073751125
201555,2324,2020,Enero,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,,,1.0,,,,,,,,,,314.0,,,,,,,,,,168199.0,,,,,,,,,,314.0,,,,,,,,,,168199.0,,,,,,,,,,535.6656050955414,
201556,2325,2020,Enero,Urbano,VALLE DEL CAUCA,GUACARI,PROFESIONALES EN ENERGÍA S.A E.S.P,,,,,,,,1.0,,,,,,,,,,33602.0,,,,,,,,,,13360289.0,,,,,,,,,,33602.0,,,,,,,,,,13360289.0,,,,,,,,,,397.60398190583896,,
201557,2326,2020,Enero,Urbano,VALLE DEL CAUCA,GUACARI,VATIA S.A. E.S.P.,,,,,,,3.0,2.0,,,,,,,,,13850.0,36824.0,,,,,,,,,5295343.0,14567587.0,,,,,,,,,4616.666666666667,18412.0,,,,,,,,,1765114.3333333333,7283793.5,,,,,,,,,382.3352346570397,395.6003421681512,,
202109,446,2018,Agosto,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,,,1.0,,,,,,,,,,479.0,,,,,,,,,,231404.0,,,,,,,,,,479.0,,,,,,,,,,231404.0,,,,,,,,,,483.098121085595,
203664,2001,2018,Agosto,Urbano,VALLE DEL CAUCA,GUACARI,VATIA S.A. E.S.P.,,,,,,,3.0,2.0,,,,,,,,,31441.0,38916.0,,,,,,,,,11627208.0,16625514.0,,,,,,,,,10480.333333333334,19458.0,,,,,,,,,3875736.0,8312757.0,,,,,,,,,369.81037498807285,427.21538698735736,,
204149,371,2008,Septiembre,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,,1.0,,,,,,,,,,12420.0,,,,,,,,,,3165994.0,,,,,,,,,,12420.0,,,,,,,,,,3165994.0,,,,,,,,,,254.9109500805153,,
204902,1124,2008,Septiembre,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,181.0,3685.0,199.0,,,,20.0,229.0,16.0,1.0,24267.0,466653.0,28638.0,,,,167876.0,97790.0,19796.0,102028.0,8502601.39,163273096.94,10035327.96,,,,44852202.12,33843444.67,6345228.73,29875277.64,134.0718232044199,126.63582089552239,143.90954773869348,,,,8393.8,427.0305676855895,1237.25,102028.0,46975.69828729282,44307.48899321574,50428.78371859297,,,,2242610.1059999997,147787.96799126637,396576.795625,29875277.64,350.3771125396629,349.88116853422133,350.42,,,,267.1745938669018,346.0828783106657,320.530851182057,292.8144983729957
205794,348,2014,Enero,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,7389.0,,,,,,,,,,2070043.0,,,,,,,,,,7389.0,,,,,,,,,,2070043.0,,,,,,,,,,280.15198267695223,,,
206527,1081,2014,Enero,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,259.0,4601.0,166.0,,,,12.0,259.0,15.0,4.0,31132.0,549692.0,33330.0,,,,242315.0,112975.0,30093.0,78343.0,11759064.38,207368624.83,12590740.8,,,,61498406.26,41430662.32,10681230.76,21924916.26,120.2007722007722,119.47228863290589,200.78313253012047,,,,20192.916666666668,436.1969111969112,2006.2,19585.75,45401.79297297297,45070.337933058036,75847.83614457832,,,,5124867.1883333335,159963.94718146717,712082.0506666667,5481229.065,377.7163169728896,377.2451205948059,377.76000000000005,,,,253.79529232610443,366.72416304492145,354.9407091350148,279.8580123303933
207429,1983,2014,Enero,Urbano,VALLE DEL CAUCA,GUACARI,VATIA S.A. E.S.P.,,,,,,,,1.0,,,,,,,,,,11625.0,,,,,,,,,,4206876.0,,,,,,,,,,11625.0,,,,,,,,,,4206876.0,,,,,,,,,,361.88180645161293,,
208727,1035,2009,Diciembre,Rural,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,27.0,118.0,11.0,,1.0,1.0,43.0,15.0,1.0,,6061.0,23482.0,5138.0,,5638.0,602.0,223671.0,46729.0,0.0,,2094397.36,8120558.81,1741152.2,,1776872.08,212174.9,51722573.38,15518785.39,0.0,,224.4814814814815,199.0,467.09090909090907,,5638.0,602.0,5201.6511627906975,3115.266666666667,0.0,,77570.27259259259,68818.295,158286.56363636363,,1776872.08,212174.9,1202850.5437209303,1034585.6926666667,0.0,,345.55310344827586,345.82057788944724,338.8774231218373,,315.16,352.45,231.24398504947,332.10180808491515,,
208970,1278,2009,Diciembre,Rural,VALLE DEL CAUCA,GUACARI,ENERTOTAL S.A. E.S.P.,,,,,,,5.0,1.0,,,,,,,,,86680.0,18136.0,,,,,,,,,23401575.0,5539849.0,,,,,,,,,17336.0,18136.0,,,,,,,,,4680315.0,5539849.0,,,,,,,,,269.97663820950623,305.4614578738421,,
209008,1316,2009,Diciembre,Rural,VALLE DEL CAUCA,GUACARI,VATIA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,15547.0,,,,,,,,,,4089957.0,,,,,,,,,,15547.0,,,,,,,,,,4089957.0,,,,,,,,,,263.0704959156107,,,
